43755,39014,115,197
46100,41100,115,197
36945,33337,106,189
89765,79978,100,174
23820,21761,101,172
33195,30299,108,186
26990,24647,105,183
25940,23508,104,179
31840,28846,104,179
42490,38325,105,180
34480,31388,104,179
33430,30366,104,179
44240,40075,105,180
35940,32506,105,180
42840,38840,109,192
36640,33129,109,192
40840,37060,109,192
39640,35992,109,192
49690,44936,109,193
69190,64740,121,204
84600,76417,109,191
49090,44446,104,179
48040,43556,104,179
35940,32512,95,159
37390,33891,96,159
40590,36739,96,159
30795,28245,107,177
37995,34800,107,177
28495,26155,107,176
30245,27745,107,176
32845,30110,107,176
36995,33890,107,176
44295,40530,107,177
35495,32525,107,176
37245,34115,107,176
39995,36620,114,191
44995,41170,114,191
54995,50270,114,191
69195,63190,118,198
73195,66830,123,204
56595,51815,108,177
48195,44170,108,177
37000,33873,110,180
52195,47720,111,184
33895,31065,98,161
41045,37575,98,161
22180,20351,109,195
26470,24282,112,200
32245,29566,112,200
35545,32244,114,207
40720,36927,114,207
37895,34357,113,193
28345,26047,109,196
24895,22835,109,196
26545,24085,112,187
30835,28575,113,190
45445,41650,115,207
50595,46362,115,207
52795,48377,116,199
47955,43841,112,201
46995,43523,116,195
76200,70546,106,178
26395,23954,111,190
11690,10965,98,167
12585,11802,98,153
14610,13697,104,183
14810,13884,104,183
16385,15357,104,183
44535,39068,105,180
51535,45193,105,180
21900,20095,111,200
25000,22931,111,200
27995,25672,111,200
18995,17434,106,188
20370,18639,106,188
23495,21551,106,188
22225,20394,112,188
21825,20026,111,198
24225,22222,111,198
42735,37422,130,219
41465,36287,116,197
20255,19108,98,163
30295,27479,113,192
27020,24518,112,187
25955,24172,103,169
29865,27797,113,198
33295,30884,113,198
24130,22452,113,208
26860,24909,113,208
34495,32033,95,160
31230,28725,116,199
17985,16919,103,169
22000,20573,103,169
19090,17805,108,191
25215,23451,106,194
30950,28613,106,194
21840,20284,108,191
38380,35063,119,201
27490,25371,119,201
35725,31361,116,199
21795,20508,113,189
32235,29472,119,201
32660,29812,119,201
24885,23058,113,204
22035,20502,113,204
13670,12849,105,174
15040,14086,105,174
20220,18821,108,191
18820,17512,108,191
81795,74451,99,176
24345,22856,115,212
27370,25105,115,212
30315,27756,115,212
22515,20907,103,173
41475,36494,137,227
34560,30468,119,206
29670,26983,114,190
13730,12906,103,168
15460,14496,103,168
19135,17878,103,168
17475,16375,103,178
13270,12482,103,168
15580,14607,103,168
26930,24498,121,201
18345,16943,101,183
29380,26875,101,183
20320,18881,109,198
22290,20457,109,198
22735,20857,109,198
37530,34483,107,186
31890,28922,129,208
25640,23215,111,190
46265,40534,130,219
22260,20080,105,188
26960,24304,105,188
19860,17924,105,188
23760,21428,108,190
13270,12175,103,175
17750,16265,103,175
14170,12996,103,175
20140,18451,103,175
15850,14531,103,175
19490,17849,101,166
19860,18419,103,179
18690,17334,101,167
19110,17911,95,155
27450,24744,118,201
24950,22498,118,201
27560,24843,106,188
33260,29965,95,162
49995,45815,123,190
10539,10107,96,167
11839,11116,96,167
11939,11209,96,167
13839,12781,103,178
15389,14207,103,178
15389,14207,103,178
21589,20201,103,177
19339,17574,106,187
20339,18380,106,187
18739,17101,100,173
24589,22055,108,192
26189,23486,108,192
34895,31756,112,189
36395,33121,112,189
28495,26157,112,187
32445,29783,112,187
29795,27536,112,182
31145,28320,108,194
42845,38792,110,197
52545,47575,113,200
31849,29977,129,208
20449,19261,106,178
43895,40004,115,192
49995,45556,115,192
63120,57499,115,192
68995,62846,119,200
59995,54656,119,200
74995,68306,119,200
74995,68306,102,187
69995,63756,102,187
86995,79226,102,187
81995,74676,102,187
29995,27355,107,184
33995,30995,107,184
27905,25686,106,181
20130,18973,104,174
25520,23275,93,150
26000,23764,110,196
16040,14910,106,186
18435,16850,106,186
11155,10705,95,167
10280,9875,95,167
11905,11410,95,167
20615,19400,115,194
19635,18630,107,180
12360,11630,101,178
13580,12830,101,178
14630,13790,101,178
39250,35777,100,185
25995,23969,101,175
72250,65807,113,195
32350,28755,107,191
41010,36196,110,189
48450,42232,110,189
45700,39838,110,188
32415,28611,105,177
31045,27404,105,177
32455,28647,105,177
55750,48583,115,197
64800,56455,112,193
39195,34576,107,186
63200,55063,103,178
42915,39443,114,193
32495,29969,115,194
36895,33929,115,194
40095,36809,115,194
43495,39869,115,194
52775,46360,119,206
41815,38418,118,215
44925,41217,118,215
50470,46208,124,221
28750,26600,112,188
22388,20701,89,156
25193,23285,89,156
25700,23794,106,174
27200,25179,106,174
21087,19742,103,173
19270,17817,105,187
26060,24249,107,178
33780,31466,107,179
32280,30071,107,178
33480,31187,107,178
52120,48522,107,178
37630,35046,107,178
38830,36162,107,178
28370,26435,107,178
35920,33456,107,178
94820,88324,114,196
128420,119600,114,196
45707,41966,107,183
52800,49104,107,183
50670,47174,112,190
48170,44849,112,190
60670,56474,112,190
57270,53382,112,190
76870,71540,112,186
46470,43268,111,183
74320,69168,122,203
